employee_id,name,termination_date
30001,Ravi O'Brien,2023-10-19
30002,Sarah Kumar,2023-10-20
30003,Emma O'Brien,2023-11-24
30004,Carlos Das,2023-02-15
30005,Liam Lee,2023-09-21
30006,Carlos Das,2023-04-21
30007,Arjun Das,2023-08-11
30008,Liam Gomez,2023-08-04
30009,Maya Lee,2023-03-20
30010,Noah Das,2023-08-03
30011,Emily Gomez,2023-11-30
30012,John Wang,2023-01-30
30013,Emma Wang,2023-03-01
30014,Maya Murphy,2023-11-29
30015,Emily Patel,2023-12-11
30016,Emma Patel,2023-12-19
30017,Priya Zhang,2023-06-13
30018,Olivia Gomez,2023-12-25
30019,Emma Zhang,2023-10-27
30020,Ravi Gomez,2023-12-11
30021,Priya O'Brien,2023-05-17
30022,Carlos Zhang,2023-08-27
30023,Priya Gomez,2023-12-04
30024,Ravi Wang,2023-08-08
30025,John Lee,2023-05-10
30026,Liam Singh,2023-08-28
30027,Carlos Patel,2023-04-12
30028,Ravi Zhang,2023-07-12
30029,Arjun Lee,2023-09-14
30030,Carlos Smith,2023-09-14
30031,David Zhang,2023-09-06
30032,Ravi Kumar,2023-05-05
30033,Noah Gomez,2023-01-28
30034,Priya Zhang,2023-08-24
30035,Alice O'Brien,2023-08-14
30036,Liam Gomez,2023-02-08
30037,Liam O'Brien,2023-02-04
30038,Emma Lee,2023-02-05
30039,Emma Kumar,2023-05-27
30040,Liam Das,2023-09-11
30041,Liam O'Brien,2023-02-06
30042,John Patel,2023-12-25
30043,Sarah O'Brien,2023-03-14
30044,Sarah Smith,2023-01-12
30045,Maya Smith,2023-08-03
30046,David Das,2023-02-15
30047,Emily O'Brien,2023-01-11
30048,Ravi Smith,2023-12-26
30049,Emily Smith,2023-05-28
30050,Ravi Smith,2023-08-08
30051,Ravi Zhang,2023-02-01
30052,Sarah Das,2023-03-21
30053,Noah Gomez,2023-12-13
30054,Alice Lee,2023-07-17
30055,Carlos O'Brien,2023-07-08
30056,Noah Kumar,2024-01-01
30057,David Kumar,2023-02-13
30058,Ravi Wang,2023-02-12
30059,Liam Wang,2023-05-24
30060,David Wang,2023-03-13
30061,Ravi Patel,2023-01-06
30062,John Wang,2023-06-29
30063,Liam Jones,2023-09-30
30064,David Singh,2023-06-20
30065,Arjun Singh,2023-05-20
30066,Alice Smith,2023-09-12
30067,Maya Jones,2023-10-30
30068,Olivia O'Brien,2023-05-24
30069,Olivia Wang,2023-07-08
30070,Liam Wang,2023-06-20
30071,Priya Gomez,2023-11-12
30072,Olivia Kumar,2023-06-30
30073,Alice Lee,2023-09-20
30074,Liam Smith,2023-03-01
30075,Ravi O'Brien,2023-07-29
30076,Alice Smith,2023-06-04
30077,Priya Kumar,2023-10-10
30078,Emily Wang,2023-06-05
